r,i,reg_cap_cost_mult
b102,dupv_3,1
b102,dupv_4,1
b102,dupv_5,1
b102,dupv_6,1
b102,dupv_7,1
b102,dupv_8,1
b102,dupv_9,1
b102,electrolyzer,1
b102,Gas-CC,1
b102,Gas-CC-CCS-F1,1
b102,Gas-CC-CCS-F2,1
b102,Gas-CC-CCS-F3,1
b102,Gas-CT,1
b102,hydD,1
b102,hydED,1
b102,hydEND,1
b102,hydND,1
b102,hydNPD,1
b102,hydNPND,1
b102,Hydro,1
b102,hydSD,1
b102,hydSND,1
b102,hydUD,1
b102,hydUND,1
b102,ice,1
b102,lfill-gas,1
b102,MHKwave,1
b102,Nuclear,1
b102,Nuclear-SMR,1
b102,Ocean,1
b102,o-g-s,1
b102,PSH,1
b102,H2-CC,1
b102,H2-CT,1
b102,smr,1
b102,smr_ccs,1
b102,UPV,1
b102,OFSWIND,1
b102,ONSWIND,1
b102,coal-CCS_mod,1
b102,coal-CCS_max,1
b102,Gas-CC-CCS_mod,1
b102,Gas-CC-CCS_max,1
b102,beccs_mod,1
b102,beccs_max,1
b102,dac_gas,1
b102,egs_allkm_1,1
b102,egs_allkm_2,1
b102,egs_allkm_3,1
b102,egs_allkm_4,1
b102,egs_allkm_5,1
b102,egs_allkm_6,1
b102,egs_allkm_7,1
b102,egs_allkm_8,1
b102,egs_allkm_9,1
b102,egs_allkm_10,1
b102,geohydro_allkm_1,1
b102,geohydro_allkm_2,1
b102,geohydro_allkm_3,1
b102,geohydro_allkm_4,1
b102,geohydro_allkm_5,1
b102,geohydro_allkm_6,1
b102,geohydro_allkm_7,1
b102,geohydro_allkm_8,1
b102,geohydro_allkm_9,1
b102,geohydro_allkm_10,1
b102,egs_nearfield_1,1
b102,egs_nearfield_2,1
b102,egs_nearfield_3,1
b102,egs_nearfield_4,1
b102,egs_nearfield_5,1
b102,egs_nearfield_6,1
b102,egs_nearfield_7,1
b102,egs_nearfield_8,1
b102,egs_nearfield_9,1
b102,egs_nearfield_10,1
b103,BATTERY,1
b103,biopower,1
b103,caes,1
b103,can-imports,1
b103,coal-CCS-F1,1
b103,coal-CCS-F2,1
b103,coal-CCS-F3,1
b103,Coal-IGCC,1
b103,coal-new,1
b103,CoalOldScr,1
b103,CoalOldUns,1
b103,CofireNew,1
b103,CofireOld,1
b103,csp1_1,1
b103,csp1_10,1
b103,csp1_11,1
b103,csp1_12,1
b103,csp1_2,1
b103,csp1_3,1
b103,csp1_4,1
b103,csp1_5,1
b103,csp1_6,1
b103,csp1_7,1
b103,csp1_8,1
b103,csp1_9,1
b103,dac,1
b103,distpv,1
b103,dupv_1,1
b103,dupv_10,1
b103,dupv_2,1
b103,dupv_3,1
b103,dupv_4,1
b103,dupv_5,1
b103,dupv_6,1
b103,dupv_7,1
b103,dupv_8,1
b103,dupv_9,1
b103,electrolyzer,1
b103,Gas-CC,1
b103,Gas-CC-CCS-F1,1
b103,Gas-CC-CCS-F2,1
b103,Gas-CC-CCS-F3,1
b103,Gas-CT,1
b103,hydD,1
b103,hydED,1
b103,hydEND,1
b103,hydND,1
b103,hydNPD,1
b103,hydNPND,1
b103,Hydro,1
b103,hydSD,1
b103,hydSND,1
b103,hydUD,1
b103,hydUND,1
b103,ice,1
b103,lfill-gas,1
b103,MHKwave,1
b103,Nuclear,1
b103,Nuclear-SMR,1
b103,Ocean,1
b103,o-g-s,1
b103,PSH,1
b103,H2-CC,1
b103,H2-CT,1
b103,smr,1
b103,smr_ccs,1
b103,UPV,1
b103,OFSWIND,1
b103,ONSWIND,1
b103,coal-CCS_mod,1
b103,coal-CCS_max,1
b103,Gas-CC-CCS_mod,1
b103,Gas-CC-CCS_max,1
b103,beccs_mod,1
b103,beccs_max,1
b103,dac_gas,1
b103,egs_allkm_1,1
b103,egs_allkm_2,1
b103,egs_allkm_3,1
b103,egs_allkm_4,1
b103,egs_allkm_5,1
b103,egs_allkm_6,1
b103,egs_allkm_7,1
b103,egs_allkm_8,1
b103,egs_allkm_9,1
b103,egs_allkm_10,1
b103,geohydro_allkm_1,1
b103,geohydro_allkm_2,1
b103,geohydro_allkm_3,1
b103,geohydro_allkm_4,1
b103,geohydro_allkm_5,1
b103,geohydro_allkm_6,1
b103,geohydro_allkm_7,1
b103,geohydro_allkm_8,1
b103,geohydro_allkm_9,1
b103,geohydro_allkm_10,1
b103,egs_nearfield_1,1
b103,egs_nearfield_2,1
b103,egs_nearfield_3,1
b103,egs_nearfield_4,1
b103,egs_nearfield_5,1
b103,egs_nearfield_6,1
b103,egs_nearfield_7,1
b103,egs_nearfield_8,1
b103,egs_nearfield_9,1
b103,egs_nearfield_10,1
b104,BATTERY,1
b104,biopower,1
b104,caes,1
b104,can-imports,1
b104,coal-CCS-F1,1
b104,coal-CCS-F2,1
b104,coal-CCS-F3,1
b104,Coal-IGCC,1
b104,coal-new,1
b104,CoalOldScr,1
b104,CoalOldUns,1
b104,CofireNew,1
b104,CofireOld,1
b104,csp1_1,1
b104,csp1_10,1
b104,csp1_11,1
b104,csp1_12,1
b104,csp1_2,1
b104,csp1_3,1
b104,csp1_4,1
b104,csp1_5,1
b104,csp1_6,1
b104,csp1_7,1
b104,csp1_8,1
b104,csp1_9,1
b104,dac,1
b104,distpv,1
b104,dupv_1,1
b104,dupv_10,1
b104,dupv_2,1
b104,dupv_3,1
b104,dupv_4,1
b104,dupv_5,1
b104,dupv_6,1
b104,dupv_7,1
b104,dupv_8,1
b104,dupv_9,1
b104,electrolyzer,1
b104,Gas-CC,1
b104,Gas-CC-CCS-F1,1
b104,Gas-CC-CCS-F2,1
b104,Gas-CC-CCS-F3,1
b104,Gas-CT,1
b104,hydD,1
b104,hydED,1
b104,hydEND,1
b104,hydND,1
b104,hydNPD,1
b104,hydNPND,1
b104,Hydro,1
b104,hydSD,1
b104,hydSND,1
b104,hydUD,1
b104,hydUND,1
b104,ice,1
b104,lfill-gas,1
b104,MHKwave,1
b104,Nuclear,1
b104,Nuclear-SMR,1
b104,Ocean,1
b104,o-g-s,1
b104,PSH,1
b104,H2-CC,1
b104,H2-CT,1
b104,smr,1
b104,smr_ccs,1
b104,UPV,1
b104,OFSWIND,1
b104,ONSWIND,1
b104,coal-CCS_mod,1
b104,coal-CCS_max,1
b104,Gas-CC-CCS_mod,1
b104,Gas-CC-CCS_max,1
b104,beccs_mod,1
b104,beccs_max,1
b104,dac_gas,1
b104,egs_allkm_1,1
b104,egs_allkm_2,1
b104,egs_allkm_3,1
b104,egs_allkm_4,1
b104,egs_allkm_5,1
b104,egs_allkm_6,1
b104,egs_allkm_7,1
b104,egs_allkm_8,1
b104,egs_allkm_9,1
b104,egs_allkm_10,1
b104,geohydro_allkm_1,1
b104,geohydro_allkm_2,1
b104,geohydro_allkm_3,1
b104,geohydro_allkm_4,1
b104,geohydro_allkm_5,1
b104,geohydro_allkm_6,1
b104,geohydro_allkm_7,1
b104,geohydro_allkm_8,1
b104,geohydro_allkm_9,1
b104,geohydro_allkm_10,1
b104,egs_nearfield_1,1
b104,egs_nearfield_2,1
b104,egs_nearfield_3,1
b104,egs_nearfield_4,1
b104,egs_nearfield_5,1
b104,egs_nearfield_6,1
b104,egs_nearfield_7,1
b104,egs_nearfield_8,1
b104,egs_nearfield_9,1
b104,egs_nearfield_10,1
b105,BATTERY,1
b105,biopower,1
b105,caes,1
b105,can-imports,1
b105,coal-CCS-F1,1
b105,coal-CCS-F2,1
b105,coal-CCS-F3,1
b105,Coal-IGCC,1
b105,coal-new,1
b105,CoalOldScr,1
b105,CoalOldUns,1
b105,CofireNew,1
b105,CofireOld,1
b105,csp1_1,1
b105,csp1_10,1
b105,csp1_11,1
b105,csp1_12,1
b105,csp1_2,1
b105,csp1_3,1
b105,csp1_4,1
b105,csp1_5,1
b105,csp1_6,1
b105,csp1_7,1
b105,csp1_8,1
b105,csp1_9,1
b105,dac,1
b105,distpv,1
b105,dupv_1,1
b105,dupv_10,1
b105,dupv_2,1
b105,dupv_3,1
b105,dupv_4,1
b105,dupv_5,1
b105,dupv_6,1
b105,dupv_7,1
b105,dupv_8,1
b105,dupv_9,1
b105,electrolyzer,1
b105,Gas-CC,1
b105,Gas-CC-CCS-F1,1
b105,Gas-CC-CCS-F2,1
b105,Gas-CC-CCS-F3,1
b105,Gas-CT,1
b105,hydD,1
b105,hydED,1
b105,hydEND,1
b105,hydND,1
b105,hydNPD,1
b105,hydNPND,1
b105,Hydro,1
b105,hydSD,1
b105,hydSND,1
b105,hydUD,1
b105,hydUND,1
b105,ice,1
b105,lfill-gas,1
b105,MHKwave,1
b105,Nuclear,1
b105,Nuclear-SMR,1
b105,Ocean,1
b105,o-g-s,1
b105,PSH,1
b105,H2-CC,1
b105,H2-CT,1
b105,smr,1
b105,smr_ccs,1
b105,UPV,1
b105,OFSWIND,1
b105,ONSWIND,1
b105,coal-CCS_mod,1
b105,coal-CCS_max,1
b105,Gas-CC-CCS_mod,1
b105,Gas-CC-CCS_max,1
b105,beccs_mod,1
b105,beccs_max,1
b105,dac_gas,1
b105,egs_allkm_1,1
b105,egs_allkm_2,1
b105,egs_allkm_3,1
b105,egs_allkm_4,1
b105,egs_allkm_5,1
b105,egs_allkm_6,1
b105,egs_allkm_7,1
b105,egs_allkm_8,1
b105,egs_allkm_9,1
b105,egs_allkm_10,1
b105,geohydro_allkm_1,1
b105,geohydro_allkm_2,1
b105,geohydro_allkm_3,1
b105,geohydro_allkm_4,1
b105,geohydro_allkm_5,1
b105,geohydro_allkm_6,1
b105,geohydro_allkm_7,1
b105,geohydro_allkm_8,1
b105,geohydro_allkm_9,1
b105,geohydro_allkm_10,1
b105,egs_nearfield_1,1
b105,egs_nearfield_2,1
b105,egs_nearfield_3,1
b105,egs_nearfield_4,1
b105,egs_nearfield_5,1
b105,egs_nearfield_6,1
b105,egs_nearfield_7,1
b105,egs_nearfield_8,1
b105,egs_nearfield_9,1
b105,egs_nearfield_10,1
b106,BATTERY,1
b106,biopower,1
b106,caes,1
b106,can-imports,1
b106,coal-CCS-F1,1
b106,coal-CCS-F2,1
b106,coal-CCS-F3,1
b106,Coal-IGCC,1
b106,coal-new,1
b106,CoalOldScr,1
b106,CoalOldUns,1
b106,CofireNew,1
b106,CofireOld,1
b106,csp1_1,1
b106,csp1_10,1
b106,csp1_11,1
b106,csp1_12,1
b106,csp1_2,1
b106,csp1_3,1
b106,csp1_4,1
b106,csp1_5,1
b106,csp1_6,1
b106,csp1_7,1
b106,csp1_8,1
b106,csp1_9,1
b106,dac,1
b106,distpv,1
b106,dupv_1,1
b106,dupv_10,1
b106,dupv_2,1
b106,dupv_3,1
b106,dupv_4,1
b106,dupv_5,1
b106,dupv_6,1
b106,dupv_7,1
b106,dupv_8,1
b106,dupv_9,1
b106,electrolyzer,1
b106,Gas-CC,1
b106,Gas-CC-CCS-F1,1
b106,Gas-CC-CCS-F2,1
b106,Gas-CC-CCS-F3,1
b106,Gas-CT,1
b106,hydD,1
b106,hydED,1
b106,hydEND,1
b106,hydND,1
b106,hydNPD,1
b106,hydNPND,1
b106,Hydro,1
b106,hydSD,1
b106,hydSND,1
b106,hydUD,1
b106,hydUND,1
b106,ice,1
b106,lfill-gas,1
b106,MHKwave,1
b106,Nuclear,1
b106,Nuclear-SMR,1
b106,Ocean,1
b106,o-g-s,1
b106,PSH,1
b106,H2-CC,1
b106,H2-CT,1
b106,smr,1
b106,smr_ccs,1
b106,UPV,1
b106,OFSWIND,1
b106,ONSWIND,1
b106,coal-CCS_mod,1
b106,coal-CCS_max,1
b106,Gas-CC-CCS_mod,1
b106,Gas-CC-CCS_max,1
b106,beccs_mod,1
b106,beccs_max,1
b106,dac_gas,1
b106,egs_allkm_1,1
b106,egs_allkm_2,1
b106,egs_allkm_3,1
b106,egs_allkm_4,1
b106,egs_allkm_5,1
b106,egs_allkm_6,1
b106,egs_allkm_7,1
b106,egs_allkm_8,1
b106,egs_allkm_9,1
b106,egs_allkm_10,1
b106,geohydro_allkm_1,1
b106,geohydro_allkm_2,1
b106,geohydro_allkm_3,1
b106,geohydro_allkm_4,1
b106,geohydro_allkm_5,1
b106,geohydro_allkm_6,1
b106,geohydro_allkm_7,1
b106,geohydro_allkm_8,1
b106,geohydro_allkm_9,1
b106,geohydro_allkm_10,1
b106,egs_nearfield_1,1
b106,egs_nearfield_2,1
b106,egs_nearfield_3,1
b106,egs_nearfield_4,1
b106,egs_nearfield_5,1
b106,egs_nearfield_6,1
b106,egs_nearfield_7,1
b106,egs_nearfield_8,1
b106,egs_nearfield_9,1
b106,egs_nearfield_10,1
b107,BATTERY,1
b107,biopower,1
b107,caes,1
b107,can-imports,1
b107,coal-CCS-F1,1
b107,coal-CCS-F2,1
b107,coal-CCS-F3,1
b107,Coal-IGCC,1
b107,coal-new,1
b107,CoalOldScr,1
b107,CoalOldUns,1
b107,CofireNew,1
b107,CofireOld,1
b107,csp1_1,1
b107,csp1_10,1
b107,csp1_11,1
b107,csp1_12,1
b107,csp1_2,1
b107,csp1_3,1
b107,csp1_4,1
b107,csp1_5,1
b107,csp1_6,1
b107,csp1_7,1
b107,csp1_8,1
b107,csp1_9,1
b107,dac,1
b107,distpv,1
b107,dupv_1,1
b107,dupv_10,1
b107,dupv_2,1
b107,dupv_3,1
b107,dupv_4,1
b107,dupv_5,1
b107,dupv_6,1
b107,dupv_7,1
b107,dupv_8,1
b107,dupv_9,1
b107,electrolyzer,1
b107,Gas-CC,1
b107,Gas-CC-CCS-F1,1
b107,Gas-CC-CCS-F2,1
b107,Gas-CC-CCS-F3,1
b107,Gas-CT,1
b107,hydD,1
b107,hydED,1
b107,hydEND,1
b107,hydND,1
b107,hydNPD,1
b107,hydNPND,1
b107,Hydro,1
b107,hydSD,1
b107,hydSND,1
b107,hydUD,1
b107,hydUND,1
b107,ice,1
b107,lfill-gas,1
b107,MHKwave,1
b107,Nuclear,1
b107,Nuclear-SMR,1
b107,Ocean,1
b107,o-g-s,1
b107,PSH,1
b107,H2-CC,1
b107,H2-CT,1
b107,smr,1
b107,smr_ccs,1
b107,UPV,1
b107,OFSWIND,1
b107,ONSWIND,1
b107,coal-CCS_mod,1
b107,coal-CCS_max,1
b107,Gas-CC-CCS_mod,1
b107,Gas-CC-CCS_max,1
b107,beccs_mod,1
b107,beccs_max,1
b107,dac_gas,1
b107,egs_allkm_1,1
b107,egs_allkm_2,1
b107,egs_allkm_3,1
b107,egs_allkm_4,1
b107,egs_allkm_5,1
b107,egs_allkm_6,1
b107,egs_allkm_7,1
b107,egs_allkm_8,1
b107,egs_allkm_9,1
b107,egs_allkm_10,1
b107,geohydro_allkm_1,1
b107,geohydro_allkm_2,1
b107,geohydro_allkm_3,1
b107,geohydro_allkm_4,1
b107,geohydro_allkm_5,1
b107,geohydro_allkm_6,1
b107,geohydro_allkm_7,1
b107,geohydro_allkm_8,1
b107,geohydro_allkm_9,1
b107,geohydro_allkm_10,1
b107,egs_nearfield_1,1
b107,egs_nearfield_2,1
b107,egs_nearfield_3,1
b107,egs_nearfield_4,1
b107,egs_nearfield_5,1
b107,egs_nearfield_6,1
b107,egs_nearfield_7,1
b107,egs_nearfield_8,1
b107,egs_nearfield_9,1
b107,egs_nearfield_10,1
b108,BATTERY,1
b108,biopower,1
b108,caes,1
b108,can-imports,1
b108,coal-CCS-F1,1
b108,coal-CCS-F2,1
b108,coal-CCS-F3,1
b108,Coal-IGCC,1
b108,coal-new,1
b108,CoalOldScr,1
b108,CoalOldUns,1
b108,CofireNew,1
b108,CofireOld,1
b108,csp1_1,1
b108,csp1_10,1
b108,csp1_11,1
b108,csp1_12,1
b108,csp1_2,1
b108,csp1_3,1
b108,csp1_4,1
b108,csp1_5,1
b108,csp1_6,1
b108,csp1_7,1
b108,csp1_8,1
b108,csp1_9,1
b108,dac,1
b108,distpv,1
b108,dupv_1,1
b108,dupv_10,1
b108,dupv_2,1
b108,dupv_3,1
b108,dupv_4,1
b108,dupv_5,1
b108,dupv_6,1
b108,dupv_7,1
b108,dupv_8,1
b108,dupv_9,1
b108,electrolyzer,1
b108,Gas-CC,1
b108,Gas-CC-CCS-F1,1
b108,Gas-CC-CCS-F2,1
b108,Gas-CC-CCS-F3,1
b108,Gas-CT,1
b108,hydD,1
b108,hydED,1
b108,hydEND,1
b108,hydND,1
b108,hydNPD,1
b108,hydNPND,1
b108,Hydro,1
b108,hydSD,1
b108,hydSND,1
b108,hydUD,1
b108,hydUND,1
b108,ice,1
b108,lfill-gas,1
b108,MHKwave,1
b108,Nuclear,1
b108,Nuclear-SMR,1
b108,Ocean,1
b108,o-g-s,1
b108,PSH,1
b108,H2-CC,1
b108,H2-CT,1
b108,smr,1
b108,smr_ccs,1
b108,UPV,1
b108,OFSWIND,1
b108,ONSWIND,1
b108,coal-CCS_mod,1
b108,coal-CCS_max,1
b108,Gas-CC-CCS_mod,1
b108,Gas-CC-CCS_max,1
b108,beccs_mod,1
b108,beccs_max,1
b108,dac_gas,1
b108,egs_allkm_1,1
b108,egs_allkm_2,1
b108,egs_allkm_3,1
b108,egs_allkm_4,1
b108,egs_allkm_5,1
b108,egs_allkm_6,1
b108,egs_allkm_7,1
b108,egs_allkm_8,1
b108,egs_allkm_9,1
b108,egs_allkm_10,1
b108,geohydro_allkm_1,1
b108,geohydro_allkm_2,1
b108,geohydro_allkm_3,1
b108,geohydro_allkm_4,1
b108,geohydro_allkm_5,1
b108,geohydro_allkm_6,1
b108,geohydro_allkm_7,1
b108,geohydro_allkm_8,1
b108,geohydro_allkm_9,1
b108,geohydro_allkm_10,1
b108,egs_nearfield_1,1
b108,egs_nearfield_2,1
b108,egs_nearfield_3,1
b108,egs_nearfield_4,1
b108,egs_nearfield_5,1
b108,egs_nearfield_6,1
b108,egs_nearfield_7,1
b108,egs_nearfield_8,1
b108,egs_nearfield_9,1
b108,egs_nearfield_10,1
b109,BATTERY,1
b109,biopower,1
b109,caes,1
b109,can-imports,1
b109,coal-CCS-F1,1
b109,coal-CCS-F2,1
b109,coal-CCS-F3,1
b109,Coal-IGCC,1
b109,coal-new,1
b109,CoalOldScr,1
b109,CoalOldUns,1
b109,CofireNew,1
b109,CofireOld,1
b109,csp1_1,1
b109,csp1_10,1
b109,csp1_11,1
b109,csp1_12,1
b109,csp1_2,1
b109,csp1_3,1
b109,csp1_4,1
b109,csp1_5,1
b109,csp1_6,1
b109,csp1_7,1
b109,csp1_8,1
b109,csp1_9,1
b109,dac,1
b109,distpv,1
b109,dupv_1,1
b109,dupv_10,1
b109,dupv_2,1
b109,dupv_3,1
b109,dupv_4,1
b109,dupv_5,1
b109,dupv_6,1
b109,dupv_7,1
b109,dupv_8,1
b109,dupv_9,1
b109,electrolyzer,1
b109,Gas-CC,1
b109,Gas-CC-CCS-F1,1
b109,Gas-CC-CCS-F2,1
b109,Gas-CC-CCS-F3,1
b109,Gas-CT,1
b109,hydD,1
b109,hydED,1
b109,hydEND,1
b109,hydND,1
b109,hydNPD,1
b109,hydNPND,1
b109,Hydro,1
b109,hydSD,1
b109,hydSND,1
b109,hydUD,1
b109,hydUND,1
b109,ice,1
b109,lfill-gas,1
b109,MHKwave,1
b109,Nuclear,1
b109,Nuclear-SMR,1
b109,Ocean,1
b109,o-g-s,1
b109,PSH,1
b109,H2-CC,1
b109,H2-CT,1
b109,smr,1
b109,smr_ccs,1
b109,UPV,1
b109,OFSWIND,1
b109,ONSWIND,1
b109,coal-CCS_mod,1
b109,coal-CCS_max,1
b109,Gas-CC-CCS_mod,1
b109,Gas-CC-CCS_max,1
b109,beccs_mod,1
b109,beccs_max,1
b109,dac_gas,1
b109,egs_allkm_1,1
b109,egs_allkm_2,1
b109,egs_allkm_3,1
b109,egs_allkm_4,1
b109,egs_allkm_5,1
b109,egs_allkm_6,1
b109,egs_allkm_7,1
b109,egs_allkm_8,1
b109,egs_allkm_9,1
b109,egs_allkm_10,1
b109,geohydro_allkm_1,1
b109,geohydro_allkm_2,1
b109,geohydro_allkm_3,1
b109,geohydro_allkm_4,1
b109,geohydro_allkm_5,1
b109,geohydro_allkm_6,1
b109,geohydro_allkm_7,1
b109,geohydro_allkm_8,1
b109,geohydro_allkm_9,1
b109,geohydro_allkm_10,1
b109,egs_nearfield_1,1
b109,egs_nearfield_2,1
b109,egs_nearfield_3,1
b109,egs_nearfield_4,1
b109,egs_nearfield_5,1
b109,egs_nearfield_6,1
b109,egs_nearfield_7,1
b109,egs_nearfield_8,1
b109,egs_nearfield_9,1
b109,egs_nearfield_10,1
b110,BATTERY,1
b110,biopower,1
b110,caes,1
b110,can-imports,1
b110,coal-CCS-F1,1
b110,coal-CCS-F2,1
b110,coal-CCS-F3,1
b110,Coal-IGCC,1
b110,coal-new,1
b110,CoalOldScr,1
b110,CoalOldUns,1
b110,CofireNew,1
b110,CofireOld,1
b110,csp1_1,1
b110,csp1_10,1
b110,csp1_11,1
b110,csp1_12,1
b110,csp1_2,1
b110,csp1_3,1
b110,csp1_4,1
b110,csp1_5,1
b110,csp1_6,1
b110,csp1_7,1
b110,csp1_8,1
b110,csp1_9,1
b110,dac,1
b110,distpv,1
b110,dupv_1,1
b110,dupv_10,1
b110,dupv_2,1
b110,dupv_3,1
b110,dupv_4,1
b110,dupv_5,1
b110,dupv_6,1
b110,dupv_7,1
b110,dupv_8,1
b110,dupv_9,1
b110,electrolyzer,1
b110,Gas-CC,1
b110,Gas-CC-CCS-F1,1
b110,Gas-CC-CCS-F2,1
b110,Gas-CC-CCS-F3,1
b110,Gas-CT,1
b110,hydD,1
b110,hydED,1
b110,hydEND,1
b110,hydND,1
b110,hydNPD,1
b110,hydNPND,1
b110,Hydro,1
b110,hydSD,1
b110,hydSND,1
b110,hydUD,1
b110,hydUND,1
b110,ice,1
b110,lfill-gas,1
b110,MHKwave,1
b110,Nuclear,1
b110,Nuclear-SMR,1
b110,Ocean,1
b110,o-g-s,1
b110,PSH,1
b110,H2-CC,1
b110,H2-CT,1
b110,smr,1
b110,smr_ccs,1
b110,UPV,1
b110,OFSWIND,1
b110,ONSWIND,1
b110,coal-CCS_mod,1
b110,coal-CCS_max,1
b110,Gas-CC-CCS_mod,1
b110,Gas-CC-CCS_max,1
b110,beccs_mod,1
b110,beccs_max,1
b110,dac_gas,1
b110,egs_allkm_1,1
b110,egs_allkm_2,1
b110,egs_allkm_3,1
b110,egs_allkm_4,1
b110,egs_allkm_5,1
b110,egs_allkm_6,1
b110,egs_allkm_7,1
b110,egs_allkm_8,1
b110,egs_allkm_9,1
b110,egs_allkm_10,1
b110,geohydro_allkm_1,1
b110,geohydro_allkm_2,1
b110,geohydro_allkm_3,1
b110,geohydro_allkm_4,1
b110,geohydro_allkm_5,1
b110,geohydro_allkm_6,1
b110,geohydro_allkm_7,1
b110,geohydro_allkm_8,1
b110,geohydro_allkm_9,1
b110,geohydro_allkm_10,1
b110,egs_nearfield_1,1
b110,egs_nearfield_2,1
b110,egs_nearfield_3,1
b110,egs_nearfield_4,1
b110,egs_nearfield_5,1
b110,egs_nearfield_6,1
b110,egs_nearfield_7,1
b110,egs_nearfield_8,1
b110,egs_nearfield_9,1
b110,egs_nearfield_10,1
b111,BATTERY,1
b111,biopower,1
b111,caes,1
b111,can-imports,1
b111,coal-CCS-F1,1
b111,coal-CCS-F2,1
b111,coal-CCS-F3,1
b111,Coal-IGCC,1
b111,coal-new,1
b111,CoalOldScr,1
b111,CoalOldUns,1
b111,CofireNew,1
b111,CofireOld,1
b111,csp1_1,1
b111,csp1_10,1
b111,csp1_11,1
b111,csp1_12,1
b111,csp1_2,1
b111,csp1_3,1
b111,csp1_4,1
b111,csp1_5,1
b111,csp1_6,1
b111,csp1_7,1
b111,csp1_8,1
b111,csp1_9,1
b111,dac,1
b111,distpv,1
b111,dupv_1,1
b111,dupv_10,1
b111,dupv_2,1
b111,dupv_3,1
b111,dupv_4,1
b111,dupv_5,1
b111,dupv_6,1
b111,dupv_7,1
b111,dupv_8,1
b111,dupv_9,1
b111,electrolyzer,1
b111,Gas-CC,1
b111,Gas-CC-CCS-F1,1
b111,Gas-CC-CCS-F2,1
b111,Gas-CC-CCS-F3,1
b111,Gas-CT,1
b111,hydD,1
b111,hydED,1
b111,hydEND,1
b111,hydND,1
b111,hydNPD,1
b111,hydNPND,1
b111,Hydro,1
b111,hydSD,1
b111,hydSND,1
b111,hydUD,1
b111,hydUND,1
b111,ice,1
b111,lfill-gas,1
b111,MHKwave,1
b111,Nuclear,1
b111,Nuclear-SMR,1
b111,Ocean,1
